subject,Question,Option A,Option B,Option C,Option D,Answer,Year,Explaination
CRK,Sisera was put to death by,Barak,Deborah,Joshua,Jael,D,1985,Judges 421 says Jael killed Sisera with a tent peg.
CRK,'But I will be with you and you will smite the Midianites as one man' was said to,Moses,Joshua,Deborah,Gideon,D,1985,Judges 616 records God's assurance to Gideon.
CRK,The name 'Samuel' means,Strength of God,Child of Tears,Asked of the Lord,Fruit of my tears,C,1985,"1 Samuel 120 says Hannah named him Samuel, “asked of the Lord.”"
CRK,Samuel's sons were rejected as judges because,they were wicked,not royal,perverted justice and took bribes,too ignorant,C,1985,1 Samuel 83 says they took bribes and perverted justice.
CRK,God took the kingdom from Saul because he,was weak,did not offer sacrifices,disobeyed by offering burnt sacrifices himself,was arrogant,C,1985,1 Samuel 131314 shows Saul's unlawful sacrifice.
CRK,How was Saul killed?,by Jonathan,fell on his own sword,by his armour-bearer,by Philistines,B,1985,1 Samuel 314 says Saul fell on his sword.
CRK,The commander of David's army was,Abner,Joab,Abiathar,Zadok,B,1985,2 Samuel 816 names Joab as commander.
CRK,King David committed adultery with,Michal,Bathsheba,Jezebel,Merab,B,1985,2 Samuel 1134 records David with Bathsheba.
CRK,Which prophet encouraged Jeroboam I to revolt?,Micaiah,Jeremiah,Nathan,Ahijah,D,1985,1 Kings 112931 says Ahijah encouraged Jeroboam.
CRK,The city of Samaria was built by,Omri,Jeroboam,Shemmer,Jehu,A,1985,1 Kings 1624 says Omri built Samaria.
CRK,The prophet from Tekoa was,Isaiah,Jeremiah,Joel,Amos,D,1985,Amos 11 identifies Amos from Tekoa.
CRK,Which king reigned after Hezekiah?,Josiah,Amon,Jehoiakim,Manasseh,D,1985,2 Kings 2021 says Manasseh succeeded Hezekiah.
CRK,Which was NOT a complaint during Nehemiah's rebuilding?,Let us get grain,We are mortgaging fields,We borrowed money for tax,Strength of burden-bearers failing,D,1985,Nehemiah 525 lists all except failing strength.
CRK,Jesus was said to be 'of Nazareth' because,he took a Nazarene vow,his ancestor David lived there,he was brought up in Nazareth,he made it his headquarters,C,1985,Matthew 2:23 says Jesus was called a Nazarene because He grew up in Nazareth.
CRK,Luke gave the most detailed account of Christ's infancy because he,was His blood relation,was writing to Jews,was writing an orderly account,was writing to Theophilus,D,1985,Luke 13 says he wrote to Theophilus with detail and order.
CRK,'You brood of vipers! Who warned you to flee from the wrath to come?' was part of the preaching of,Jesus Christ,Zechariah,Paul,John the Baptist,D,1985,Matthew 37 records John the Baptist addressing the Pharisees and Sadducees.
CRK,Which statement about Jesus' temptation is correct?,Order varies in Matthew and Luke but tests same,Matthew follows Luke's order,Temptation story is in Mark only,Only Luke records it,A,1985,Matthew 4 and Luke 4 differ in order but content is the same.
CRK,'Today salvation has come to this house...' was said of,Levi,Stephen,Barnabas,Zacchaeus,D,1985,Luke 199 records Jesus saying this after Zacchaeus repented.
CRK,Jesus was tempted in the wilderness for,20 days,30 days,40 days,50 days,C,1985,Matthew 42 says Jesus fasted forty days and nights.
CRK,The Sermon on the Mount begins with,The Beatitudes,The Lord's Prayer,Parable of the Sower,Golden Rule,A,1985,Matthew 5312 begins with the Beatitudes.
CRK,Jesus healed the paralytic lowered through the roof in,Capernaum,Nazareth,Bethlehem,Jericho,A,1985,Mark 2112 records this miracle in Capernaum.
CRK,The first miracle of Jesus was,healing the blind,feeding the 5000,turning water into wine,raising Lazarus,C,1985,John 2111 records Jesus turning water into wine at Cana.
CRK,The man who carried Jesus' cross was,Peter,John,Simon of Cyrene,Joseph of Arimathea,C,1985,Luke 2326 says Simon of Cyrene carried the cross.
CRK,The inscription on Jesus' cross was,Jesus of Nazareth King of the Jews,Jesus the Prophet,Jesus the Messiah,Jesus the Son of God,A,1985,"John 1919 records Pilate's inscription “Jesus of Nazareth, King of the Jews.”"
CRK,The first Christian martyr was,Peter,Stephen,James,Paul,B,1985,Acts 759 records Stephen as the first martyr.
CRK,The day of Pentecost is associated with,Jesus' resurrection,Holy Spirit's descent,Paul's conversion,Jesus' ascension,B,1985,Acts 214 records the Holy Spirit descending at Pentecost.
CRK,Paul's first missionary journey was with,Peter,Barnabas,Silas,Timothy,B,1985,Acts 1323 says Paul and Barnabas were sent out together.
CRK,Paul and Silas prayed and sang hymns in prison at,Philippi,Corinth,Ephesus,Athens,A,1985,Acts 1625 records Paul and Silas praying and singing at Philippi.
CRK,The first Gentile convert recorded was,Cornelius,Timothy,Barnabas,Silas,A,1985,Acts 10148 records Cornelius as the first Gentile convert.
CRK,The council at Jerusalem decided Gentiles should not,eat food offered to idols,be circumcised,eat blood,eat strangled animals,B,1985,Acts 152829 shows circumcision was not required for Gentiles.
CRK,Paul was shipwrecked on the island of,Cyprus,Malta,Crete,Patmos,B,1985,Acts 281 records Paul shipwrecked on Malta.
CRK,Paul wrote most of his letters to,Gentile churches,Jewish synagogues,Roman governors,Greek philosophers,A,1985,Paul's epistles were mainly addressed to Gentile congregations.
CRK,The last book of the New Testament is,Hebrews,Revelation,Acts,Romans,B,1985,Revelation is the final book of the New Testament.
CRK,The vision of the valley of dry bones was given to,Isaiah,Jeremiah,Ezekiel,Daniel,C,1985,Ezekiel 37 records the vision of dry bones.
CRK,The prophet who married a harlot to symbolize Israel's unfaithfulness was,Isaiah,Jeremiah,Ezekiel,Hosea,D,1985,Hosea 12 records Hosea marrying Gomer as a symbol.
CRK,The prophet who saw the Lord high and lifted up was,Isaiah,Jeremiah,Ezekiel,Daniel,A,1985,Isaiah 61 records Isaiah's vision of God's throne.
CRK,The prophet who said 'The just shall live by faith' was,Isaiah,Jeremiah,Habakkuk,Daniel,C,1985,Habakkuk 24 says the righteous shall live by faith.
CRK,The prophet who said 'Can two walk together except they be agreed?' was,Isaiah,Jeremiah,Ezekiel,Amos,D,1985,Amos 33 records this rhetorical question about unity.
CRK,On the 6th day of creation God made,light,firmament,man and animals,plants,C,1986,Genesis 12631 says man and animals were created on the sixth day.
CRK,The rainbow after the flood was a sign of,God's covenant,God's anger,Noah's faith,God's judgment,A,1986,Genesis 91317 says the rainbow was God's covenant not to destroy the earth by flood again.
CRK,Abraham's faith was tested when he was asked to,leave Ur,sacrifice Isaac,circumcise Ishmael,pray daily,B,1986,Genesis 222 records God asking Abraham to sacrifice Isaac.
CRK,Jacob's name was changed to Israel after,he wrestled with an angel,he married Rachel,he deceived Isaac,he fled from Esau,A,1986,Genesis 3228 says Jacob's name became Israel after wrestling with God's angel.
CRK,Joseph was sold into slavery by,Ishmaelites,Midianites,his brothers,Egyptians,C,1986,Genesis 3728 says Joseph's brothers sold him to Ishmaelites.
CRK,The Ten Commandments were given at,Mount Sinai,Mount Horeb,Mount Nebo,Mount Zion,A,1986,Exodus 1920 records the commandments given at Sinai.
CRK,The walls of Jericho fell after,Israel fought seven days,priests blew trumpets,army betrayed city,famine struck,B,1986,Joshua 620 says Jericho's walls fell at the trumpet blast.
CRK,Samuel was dedicated to God by,Elkanah,Hannah,Eli,Saul,B,1986,1 Samuel 128 says Hannah dedicated Samuel to God.
CRK,David killed Goliath with,a sword,a spear,a sling and stone,an arrow,C,1986,1 Samuel 1749 says David struck Goliath with a sling and stone.
CRK,Solomon asked God for,wealth,long life,wisdom,victory,C,1986,1 Kings 39 says Solomon asked for wisdom to govern Israel.
CRK,Elijah was fed by,ravens,widow of Zarephath,angels,priests,A,1986,1 Kings 176 says ravens brought Elijah bread and meat.
CRK,The prophet who confronted Ahab over Naboth's vineyard was,Elisha,Elijah,Isaiah,Jeremiah,B,1986,1 Kings 211719 records Elijah confronting Ahab.
CRK,The prophet who said 'Here am I send me' was,Jeremiah,Isaiah,Ezekiel,Daniel,B,1986,Isaiah 68 records Isaiah's response to God's call.
CRK,The prophet who saw dry bones come alive was,Isaiah,Jeremiah,Ezekiel,Daniel,C,1986,Ezekiel 37 records the vision of dry bones.
CRK,The prophet who said 'The just shall live by faith' was,Isaiah,Jeremiah,Habakkuk,Daniel,C,1986,Habakkuk 24 says the righteous shall live by faith.
CRK,Jesus was baptized by,Peter,John the Baptist,James,Andrew,B,1986,Matthew 31316 says John baptized Jesus in the Jordan.
CRK,Jesus turned water into wine at,Jerusalem,Nazareth,Cana,Bethlehem,C,1986,John 2111 records the miracle at Cana.
CRK,Jesus fed 5000 people with,five loaves and two fish,seven loaves and two fish,five loaves and five fish,seven loaves and five fish,A,1986,Matthew 141721 records five loaves and two fish.
CRK,The man who carried Jesus' cross was,Peter,John,Simon of Cyrene,Joseph of Arimathea,C,1986,Luke 2326 says Simon of Cyrene carried the cross.
CRK,The inscription on Jesus' cross was,Jesus the Prophet,Jesus the Messiah,Jesus of Nazareth King of the Jews,Jesus the Son of God,C,1986,John 1919 records Pilate's inscription.
CRK,The first Christian martyr was,Peter,Stephen,James,Paul,B,1986,Acts 759 records Stephen as the first martyr.
CRK,The day of Pentecost is associated with,Jesus' resurrection,Holy Spirit's descent,Paul's conversion,Jesus' ascension,B,1986,Acts 214 records the Holy Spirit descending at Pentecost.
CRK,Paul's first missionary companion was,Peter,Barnabas,Silas,Timothy,B,1986,Acts 1323 says Paul and Barnabas were sent out together.
CRK,Paul and Silas prayed and sang hymns in prison at,Philippi,Corinth,Ephesus,Athens,A,1986,Acts 1625 records Paul and Silas praying and singing at Philippi.
CRK,The first Gentile convert recorded was,Cornelius,Timothy,Barnabas,Silas,A,1986,Acts 10148 records Cornelius as the first Gentile convert.
CRK,The Jerusalem Council decided Gentiles should not,eat food offered to idols,be circumcised,eat blood,eat strangled animals,B,1986,Acts 152829 shows circumcision was not required for Gentiles.
CRK,Paul was shipwrecked on the island of,Cyprus,Malta,Crete,Patmos,B,1986,Acts 281 records Paul shipwrecked on Malta.
CRK,Paul wrote most of his letters to,Gentile churches,Jewish synagogues,Roman governors,Greek philosophers,A,1986,Paul's epistles were mainly addressed to Gentile congregations.
CRK,The last book of the New Testament is,Hebrews,Revelation,Acts,Romans,B,1986,Revelation is the final book of the New Testament.
CRK,The vision of the valley of dry bones was given to,Isaiah,Jeremiah,Ezekiel,Daniel,C,1986,Ezekiel 37 records the vision of dry bones.
CRK,The prophet who saw the Lord high and lifted up was,Isaiah,Jeremiah,Ezekiel,Daniel,A,1986,Isaiah 61 records Isaiah's vision of God's throne.
CRK,On the 7th day of creation God,created man,rested,made animals,made plants,B,1987,Genesis 22 says God rested on the seventh day.
CRK,The first man created by God was,Abraham,Moses,Adam,Noah,C,1987,Genesis 27 records Adam as the first man.
CRK,The first woman created by God was,Sarah,Eve,Rachel,Rebecca,B,1987,Genesis 222 says Eve was formed from Adam's rib.
CRK,The first sin committed by man was,murder,disobedience,lying,stealing,B,1987,Genesis 36 records Adam and Eve disobeying God by eating the forbidden fruit.
CRK,The first murderer in the Bible was,Cain,Abel,Esau,Ishmael,A,1987,Genesis 48 says Cain killed Abel.
CRK,The ark was built by,Abraham,Moses,Noah,Jacob,C,1987,Genesis 614 records Noah building the ark.
CRK,The tower of Babel was built to,worship God,reach heaven,store food,honour Nimrod,B,1987,Genesis 114 says men built it to reach heaven.
CRK,The covenant of circumcision was given to,Moses,Abraham,Isaac,Jacob,B,1987,Genesis 171011 records God's covenant with Abraham.
CRK,The Ten Commandments were given to,Abraham,Isaac,Jacob,Moses,D,1987,Exodus 20 records God giving the commandments to Moses.
CRK,The first king of Israel was,David,Saul,Solomon,Jeroboam,B,1987,1 Samuel 101 records Saul as Israel's first king.
CRK,David killed Goliath with,a sword,a spear,a sling and stone,an arrow,C,1987,1 Samuel 1749 says David struck Goliath with a sling and stone.
CRK,Solomon built the temple in,Jerusalem,Bethel,Shiloh,Nazareth,A,1987,1 Kings 61 records Solomon building the temple in Jerusalem.
CRK,Elijah was taken to heaven by,a whirlwind,a chariot of fire,an angel,a cloud,B,1987,2 Kings 211 says Elijah was taken up by a chariot of fire.
CRK,The prophet who confronted Ahab over Naboth's vineyard was,Elisha,Elijah,Isaiah,Jeremiah,B,1987,1 Kings 211719 records Elijah confronting Ahab.
CRK,The prophet who said 'Here am I send me' was,Jeremiah,Isaiah,Ezekiel,Daniel,B,1987,Isaiah 68 records Isaiah's response to God's call.
CRK,The prophet who saw dry bones come alive was,Isaiah,Jeremiah,Ezekiel,Daniel,C,1987,Ezekiel 37 records the vision of dry bones.
CRK,The prophet who said 'The just shall live by faith' was,Isaiah,Jeremiah,Habakkuk,Daniel,C,1987,Habakkuk 24 says the righteous shall live by faith.
CRK,Jesus was baptized by,Peter,John the Baptist,James,Andrew,B,1987,Matthew 31316 says John baptized Jesus in the Jordan.
CRK,Jesus turned water into wine at,Jerusalem,Nazareth,Cana,Bethlehem,C,1987,John 2111 records the miracle at Cana.
CRK,Jesus fed 5000 people with,five loaves and two fish,seven loaves and two fish,five loaves and five fish,seven loaves and five fish,A,1987,Matthew 141721 records five loaves and two fish.
CRK,The man who carried Jesus' cross was,Peter,John,Simon of Cyrene,Joseph of Arimathea,C,1987,Luke 2326 says Simon of Cyrene carried the cross.
CRK,The inscription on Jesus' cross was,Jesus the Prophet,Jesus the Messiah,Jesus of Nazareth King of the Jews,Jesus the Son of God,C,1987,John 1919 records Pilate's inscription.
CRK,The first Christian martyr was,Peter,Stephen,James,Paul,B,1987,Acts 759 records Stephen as the first martyr.
CRK,The day of Pentecost is associated with,Jesus' resurrection,Holy Spirit's descent,Paul's conversion,Jesus' ascension,B,1987,Acts 214 records the Holy Spirit descending at Pentecost.
CRK,Paul and Silas prayed and sang hymns in prison at,Philippi,Corinth,Ephesus,Athens,A,1987,Acts 1625 records Paul and Silas praying and singing at Philippi.
CRK,The first Gentile convert recorded was,Cornelius,Timothy,Barnabas,Silas,A,1987,Acts 10148 records Cornelius as the first Gentile convert.
CRK,The Jerusalem Council decided Gentiles should not,eat food offered to idols,be circumcised,eat blood,eat strangled animals,B,1987,Acts 152829 shows circumcision was not required for Gentiles.
CRK,Paul was shipwrecked on the island of,Cyprus,Malta,Crete,Patmos,B,1987,Acts 281 records Paul shipwrecked on Malta.
CRK,Paul wrote most of his letters to,Gentile churches,Jewish synagogues,Roman governors,Greek philosophers,A,1987,Paul's epistles were mainly addressed to Gentile congregations.
CRK,The last book of the New Testament is,Hebrews,Revelation,Acts,Romans,B,1987,Revelation is the final book of the New Testament.
CRK,The vision of the valley of dry bones was given to,Isaiah,Jeremiah,Ezekiel,Daniel,C,1987,Ezekiel 37 records the vision of dry bones.
CRK,The prophet who saw the Lord high and lifted up was,Isaiah,Jeremiah,Ezekiel,Daniel,A,1987,Isaiah 61 records Isaiah's vision of God's throne.
CRK,Paul's first missionary companion was,Peter,Barnabas,Silas,Timothy,B,1987,Acts 1323 says Paul and Barnabas were sent out together.
CRK,On the 1st day of creation God made,light,firmament,plants,animals,A,1988,Genesis 13 says God created light on the first day.
CRK,The first man created by God was,Abraham,Moses,Adam,Noah,C,1988,Genesis 27 records Adam as the first man.
CRK,The first woman created by God was,Sarah,Eve,Rachel,Rebecca,B,1988,Genesis 222 says Eve was formed from Adam's rib.
CRK,The first sin committed by man was,murder,disobedience,lying,stealing,B,1988,Genesis 36 records Adam and Eve disobeying God by eating the forbidden fruit.
CRK,The first murderer in the Bible was,Cain,Abel,Esau,Ishmael,A,1988,Genesis 48 says Cain killed Abel.
CRK,The ark was built by,Abraham,Moses,Noah,Jacob,C,1988,Genesis 614 records Noah building the ark.
CRK,The tower of Babel was built to,worship God,reach heaven,store food,honour Nimrod,B,1988,Genesis 114 says men built it to reach heaven.
CRK,The covenant of circumcision was given to,Moses,Abraham,Isaac,Jacob,B,1988,Genesis 171011 records God's covenant with Abraham.
CRK,The Ten Commandments were given to,Abraham,Isaac,Jacob,Moses,D,1988,Exodus 20 records God giving the commandments to Moses.
CRK,The first king of Israel was,David,Saul,Solomon,Jeroboam,B,1988,1 Samuel 101 records Saul as Israel's first king.
CRK,David killed Goliath with,a sword,a spear,a sling and stone,an arrow,C,1988,1 Samuel 1749 says David struck Goliath with a sling and stone.
CRK,Solomon built the temple in,Jerusalem,Bethel,Shiloh,Nazareth,A,1988,1 Kings 61 records Solomon building the temple in Jerusalem.
CRK,Elijah was taken to heaven by,a whirlwind,a chariot of fire,an angel,a cloud,B,1988,2 Kings 211 says Elijah was taken up by a chariot of fire.
CRK,The prophet who confronted Ahab over Naboth's vineyard was,Elisha,Elijah,Isaiah,Jeremiah,B,1988,1 Kings 211719 records Elijah confronting Ahab.
CRK,The prophet who said 'Here am I send me' was,Jeremiah,Isaiah,Ezekiel,Daniel,B,1988,Isaiah 68 records Isaiah's response to God's call.
CRK,The prophet who saw dry bones come alive was,Isaiah,Jeremiah,Ezekiel,Daniel,C,1988,Ezekiel 37 records the vision of dry bones.
CRK,The prophet who said 'The just shall live by faith' was,Isaiah,Jeremiah,Habakkuk,Daniel,C,1988,Habakkuk 24 says the righteous shall live by faith.
CRK,Jesus was baptized by,Peter,John the Baptist,James,Andrew,B,1988,Matthew 31316 says John baptized Jesus in the Jordan.
CRK,Jesus turned water into wine at,Jerusalem,Nazareth,Cana,Bethlehem,C,1988,John 2111 records the miracle at Cana.
CRK,Jesus fed 5000 people with,five loaves and two fish,seven loaves and two fish,five loaves and five fish,seven loaves and five fish,A,1988,Matthew 141721 records five loaves and two fish.
CRK,The man who carried Jesus' cross was,Peter,John,Simon of Cyrene,Joseph of Arimathea,C,1988,Luke 2326 says Simon of Cyrene carried the cross.
CRK,The inscription on Jesus' cross was,Jesus the Prophet,Jesus the Messiah,Jesus of Nazareth King of the Jews,Jesus the Son of God,C,1988,John 1919 records Pilate's inscription.
CRK,The first Christian martyr was,Peter,Stephen,James,Paul,B,1988,Acts 759 records Stephen as the first martyr.
CRK,The day of Pentecost is associated with,Jesus' resurrection,Holy Spirit's descent,Paul's conversion,Jesus' ascension,B,1988,Acts 214 records the Holy Spirit descending at Pentecost.
CRK,Paul and Silas prayed and sang hymns in prison at,Philippi,Corinth,Ephesus,Athens,A,1988,Acts 1625 records Paul and Silas praying and singing at Philippi.
CRK,The first Gentile convert recorded was,Cornelius,Timothy,Barnabas,Silas,A,1988,Acts 10148 records Cornelius as the first Gentile convert.
CRK,The Jerusalem Council decided Gentiles should not,eat food offered to idols,be circumcised,eat blood,eat strangled animals,B,1988,Acts 152829 shows circumcision was not required for Gentiles.
CRK,Paul was shipwrecked on the island of,Cyprus,Malta,Crete,Patmos,B,1988,Acts 281 records Paul shipwrecked on Malta.
CRK,Paul wrote most of his letters to,Gentile churches,Jewish synagogues,Roman governors,Greek philosophers,A,1988,Paul's epistles were mainly addressed to Gentile congregations.
CRK,The last book of the New Testament is,Hebrews,Revelation,Acts,Romans,B,1988,Revelation is the final book of the New Testament.
CRK,The vision of the valley of dry bones was given to,Isaiah,Jeremiah,Ezekiel,Daniel,C,1988,Ezekiel 37 records the vision of dry bones.
CRK,The prophet who saw the Lord high and lifted up was,Isaiah,Jeremiah,Ezekiel,Daniel,A,1988,Isaiah 61 records Isaiah's vision of God's throne.
CRK,Paul's first missionary companion was,Peter,Barnabas,Silas,Timothy,B,1988,Acts 1323 says Paul and Barnabas were sent out together.
CRK,On the 2nd day of creation God made,light,firmament,plants,animals,B,1989,Genesis 168 says God created the firmament on the second day.
CRK,The first man created by God was,Abraham,Moses,Adam,Noah,C,1989,Genesis 27 records Adam as the first man.
CRK,The first woman created by God was,Sarah,Eve,Rachel,Rebecca,B,1989,Genesis 222 says Eve was formed from Adam's rib.
CRK,The first sin committed by man was,murder,disobedience,lying,stealing,B,1989,Genesis 36 records Adam and Eve disobeying God by eating the forbidden fruit.
CRK,The first murderer in the Bible was,Cain,Abel,Esau,Ishmael,A,1989,Genesis 48 says Cain killed Abel.
CRK,The ark was built by,Abraham,Moses,Noah,Jacob,C,1989,Genesis 614 records Noah building the ark.
CRK,The tower of Babel was built to,worship God,reach heaven,store food,honour Nimrod,B,1989,Genesis 114 says men built it to reach heaven.
CRK,The covenant of circumcision was given to,Moses,Abraham,Isaac,Jacob,B,1989,Genesis 171011 records God's covenant with Abraham.
CRK,The Ten Commandments were given to,Abraham,Isaac,Jacob,Moses,D,1989,Exodus 20 records God giving the commandments to Moses.
CRK,The first king of Israel was,David,Saul,Solomon,Jeroboam,B,1989,1 Samuel 101 records Saul as Israel's first king.
CRK,David killed Goliath with,a sword,a spear,a sling and stone,an arrow,C,1989,1 Samuel 1749 says David struck Goliath with a sling and stone.
CRK,Solomon built the temple in,Jerusalem,Bethel,Shiloh,Nazareth,A,1989,1 Kings 61 records Solomon building the temple in Jerusalem.
CRK,Elijah was taken to heaven by,a whirlwind,a chariot of fire,an angel,a cloud,B,1989,2 Kings 211 says Elijah was taken up by a chariot of fire.
CRK,The prophet who confronted Ahab over Naboth's vineyard was,Elisha,Elijah,Isaiah,Jeremiah,B,1989,1 Kings 211719 records Elijah confronting Ahab.
CRK,The prophet who said 'Here am I send me' was,Jeremiah,Isaiah,Ezekiel,Daniel,B,1989,Isaiah 68 records Isaiah's response to God's call.
CRK,The prophet who saw dry bones come alive was,Isaiah,Jeremiah,Ezekiel,Daniel,C,1989,Ezekiel 37 records the vision of dry bones.
CRK,The prophet who said 'The just shall live by faith' was,Isaiah,Jeremiah,Habakkuk,Daniel,C,1989,Habakkuk 24 says the righteous shall live by faith.
CRK,Jesus was baptized by,Peter,John the Baptist,James,Andrew,B,1989,Matthew 31316 says John baptized Jesus in the Jordan.
CRK,Jesus turned water into wine at,Jerusalem,Nazareth,Cana,Bethlehem,C,1989,John 2111 records the miracle at Cana.
CRK,Jesus fed 5000 people with,five loaves and two fish,seven loaves and two fish,five loaves and five fish,seven loaves and five fish,A,1989,Matthew 141721 records five loaves and two fish.
CRK,The man who carried Jesus' cross was,Peter,John,Simon of Cyrene,Joseph of Arimathea,C,1989,Luke 2326 says Simon of Cyrene carried the cross.
CRK,The inscription on Jesus' cross was,Jesus the Prophet,Jesus the Messiah,Jesus of Nazareth King of the Jews,Jesus the Son of God,C,1989,John 1919 records Pilate's inscription.
CRK,The first Christian martyr was,Peter,Stephen,James,Paul,B,1989,Acts 759 records Stephen as the first martyr.
CRK,The day of Pentecost is associated with,Jesus' resurrection,Holy Spirit's descent,Paul's conversion,Jesus' ascension,B,1989,Acts 214 records the Holy Spirit descending at Pentecost.
CRK,Paul and Silas prayed and sang hymns in prison at,Philippi,Corinth,Ephesus,Athens,A,1989,Acts 1625 records Paul and Silas praying and singing at Philippi.
CRK,The first Gentile convert recorded was,Cornelius,Timothy,Barnabas,Silas,A,1989,Acts 10148 records Cornelius as the first Gentile convert.
CRK,The Jerusalem Council decided Gentiles should not,eat food offered to idols,be circumcised,eat blood,eat strangled animals,B,1989,Acts 152829 shows circumcision was not required for Gentiles.
CRK,Paul was shipwrecked on the island of,Cyprus,Malta,Crete,Patmos,B,1989,Acts 281 records Paul shipwrecked on Malta.
CRK,Paul wrote most of his letters to,Gentile churches,Jewish synagogues,Roman governors,Greek philosophers,A,1989,Paul's epistles were mainly addressed to Gentile congregations.
CRK,The last book of the New Testament is,Hebrews,Revelation,Acts,Romans,B,1989,Revelation is the final book of the New Testament.
CRK,The vision of the valley of dry bones was given to,Isaiah,Jeremiah,Ezekiel,Daniel,C,1989,Ezekiel 37 records the vision of dry bones.
CRK,The prophet who saw the Lord high and lifted up was,Isaiah,Jeremiah,Ezekiel,Daniel,A,1989,Isaiah 61 records Isaiah's vision of God's throne.
CRK,Paul's first missionary companion was,Peter,Barnabas,Silas,Timothy,B,1989,Acts 1323 says Paul and Barnabas were sent out together.
CRK,On the 3rd day of creation God made,light,firmament,dry land and vegetation,sun and moon,C,1990,Genesis 1913 says God created dry land and plants on the third day.
CRK,The first man created by God was,Abraham,Moses,Adam,Noah,C,1990,Genesis 27 records Adam as the first man.
CRK,The first woman created by God was,Sarah,Eve,Rachel,Rebecca,B,1990,Genesis 222 says Eve was formed from Adam's rib.
CRK,The first sin committed by man was,murder,disobedience,lying,stealing,B,1990,Genesis 36 records Adam and Eve disobeying God by eating the forbidden fruit.
CRK,The first murderer in the Bible was,Cain,Abel,Esau,Ishmael,A,1990,Genesis 48 says Cain killed Abel.
CRK,The ark was built by,Abraham,Moses,Noah,Jacob,C,1990,Genesis 614 records Noah building the ark.
CRK,The tower of Babel was built to,worship God,reach heaven,store food,honour Nimrod,B,1990,Genesis 114 says men built it to reach heaven.
CRK,The covenant of circumcision was given to,Moses,Abraham,Isaac,Jacob,B,1990,Genesis 171011 records God's covenant with Abraham.
CRK,The Ten Commandments were given to,Abraham,Isaac,Jacob,Moses,D,1990,Exodus 20 records God giving the commandments to Moses.
CRK,The first king of Israel was,David,Saul,Solomon,Jeroboam,B,1990,1 Samuel 101 records Saul as Israel's first king.
CRK,David killed Goliath with,a sword,a spear,a sling and stone,an arrow,C,1990,1 Samuel 1749 says David struck Goliath with a sling and stone.
CRK,Solomon built the temple in,Jerusalem,Bethel,Shiloh,Nazareth,A,1990,1 Kings 61 records Solomon building the temple in Jerusalem.
CRK,Elijah was taken to heaven by,a whirlwind,a chariot of fire,an angel,a cloud,B,1990,2 Kings 211 says Elijah was taken up by a chariot of fire.
CRK,The prophet who confronted Ahab over Naboth's vineyard was,Elisha,Elijah,Isaiah,Jeremiah,B,1990,1 Kings 211719 records Elijah confronting Ahab.
CRK,The prophet who said 'Here am I send me' was,Jeremiah,Isaiah,Ezekiel,Daniel,B,1990,Isaiah 68 records Isaiah's response to God's call.
CRK,The prophet who saw dry bones come alive was,Isaiah,Jeremiah,Ezekiel,Daniel,C,1990,Ezekiel 37 records the vision of dry bones.
CRK,The prophet who said 'The just shall live by faith' was,Isaiah,Jeremiah,Habakkuk,Daniel,C,1990,Habakkuk 24 says the righteous shall live by faith.
CRK,Jesus was baptized by,Peter,John the Baptist,James,Andrew,B,1990,Matthew 31316 says John baptized Jesus in the Jordan.
CRK,Jesus turned water into wine at,Jerusalem,Nazareth,Cana,Bethlehem,C,1990,John 2111 records the miracle at Cana.
CRK,Jesus fed 5000 people with,five loaves and two fish,seven loaves and two fish,five loaves and five fish,seven loaves and five fish,A,1990,Matthew 141721 records five loaves and two fish.
CRK,The man who carried Jesus' cross was,Peter,John,Simon of Cyrene,Joseph of Arimathea,C,1990,Luke 2326 says Simon of Cyrene carried the cross.
CRK,The inscription on Jesus' cross was,Jesus the Prophet,Jesus the Messiah,Jesus of Nazareth King of the Jews,Jesus the Son of God,C,1990,John 1919 records Pilate's inscription.
CRK,The first Christian martyr was,Peter,Stephen,James,Paul,B,1990,Acts 759 records Stephen as the first martyr.
CRK,The day of Pentecost is associated with,Jesus' resurrection,Holy Spirit's descent,Paul's conversion,Jesus' ascension,B,1990,Acts 214 records the Holy Spirit descending at Pentecost.
CRK,Paul and Silas prayed and sang hymns in prison at,Philippi,Corinth,Ephesus,Athens,A,1990,Acts 1625 records Paul and Silas praying and singing at Philippi.
CRK,The first Gentile convert recorded was,Cornelius,Timothy,Barnabas,Silas,A,1990,Acts 10148 records Cornelius as the first Gentile convert.
CRK,The Jerusalem Council decided Gentiles should not,eat food offered to idols,be circumcised,eat blood,eat strangled animals,B,1990,Acts 152829 shows circumcision was not required for Gentiles.
CRK,Paul was shipwrecked on the island of,Cyprus,Malta,Crete,Patmos,B,1990,Acts 281 records Paul shipwrecked on Malta.
CRK,Paul wrote most of his letters to,Gentile churches,Jewish synagogues,Roman governors,Greek philosophers,A,1990,Paul's epistles were mainly addressed to Gentile congregations.
CRK,The last book of the New Testament is,Hebrews,Revelation,Acts,Romans,B,1990,Revelation is the final book of the New Testament.
CRK,The vision of the valley of dry bones was given to,Isaiah,Jeremiah,Ezekiel,Daniel,C,1990,Ezekiel 37 records the vision of dry bones.
CRK,The prophet who saw the Lord high and lifted up was,Isaiah,Jeremiah,Ezekiel,Daniel,A,1990,Isaiah 61 records Isaiah's vision of God's throne.
